
10/06/2025 10:37:37 | DEBUG | Request Method: GET | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Login page loaded | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Request Method: POST | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | POST data: ["action","username","password"] | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Login attempt for username: admin | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Attempting to authenticate user: admin | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Password verified for user: admin | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Authentication successful for user ID: 1 | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Session variables set for user: System Admin | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Activity logged to database for user ID: 1 | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 10:37:39 | DEBUG | Preparing to redirect to index.php | IP: 141.101.98.178 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
10/06/2025 12:37:28 | DEBUG | Login page loaded | IP: 172.70.163.106 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
